Date (GTC);temperature_2m (°C);rain (mm);wind_speed_100m (km/h);diffuse_radiation_instant (W/m?)
2022-12-30T00:00;4.7;0.00;35.4;0.0
2022-12-30T01:00;4.8;0.00;34.1;0.0
2022-12-30T02:00;4.8;0.00;34.1;0.0
2022-12-30T03:00;4.9;0.00;33.6;0.0
2022-12-30T04:00;6.3;0.00;32.6;0.0
2022-12-30T05:00;6.7;0.00;33.7;0.0
2022-12-30T06:00;6.3;0.00;32.7;0.0
2022-12-30T07:00;6.2;0.00;32.1;0.0
2022-12-30T08:00;6.5;0.00;31.5;39.3
2022-12-30T09:00;7.2;0.00;31.4;48.5
2022-12-30T10:00;8.2;0.00;33.2;52.5
2022-12-30T11:00;8.3;0.00;28.0;59.4
2022-12-30T12:00;8.5;0.00;24.5;53.0
2022-12-30T13:00;8.1;0.00;24.3;37.0
2022-12-30T14:00;6.7;0.00;23.1;17.0
2022-12-30T15:00;4.4;0.00;23.4;0.0
2022-12-30T16:00;3.8;0.00;26.8;0.0
2022-12-30T17:00;3.8;0.00;29.8;0.0
2022-12-30T18:00;3.9;0.00;32.6;0.0
2022-12-30T19:00;4.1;0.00;33.7;0.0
2022-12-30T20:00;3.9;0.00;36.0;0.0
2022-12-30T21:00;3.9;0.00;39.4;0.0
2022-12-30T22:00;4.2;0.00;40.9;0.0
2022-12-30T23:00;4.5;0.00;43.3;0.0
2022-12-31T00:00;5.1;0.00;43.8;0.0
2022-12-31T01:00;5.0;0.00;45.1;0.0
2022-12-31T02:00;5.6;0.00;41.6;0.0
2022-12-31T03:00;6.6;0.00;41.9;0.0
2022-12-31T04:00;7.1;0.00;42.5;0.0
2022-12-31T05:00;7.5;0.00;40.7;0.0
2022-12-31T06:00;6.8;0.00;39.2;0.0
2022-12-31T07:00;6.6;0.00;38.5;0.0
2022-12-31T08:00;7.4;0.00;39.3;43.0
2022-12-31T09:00;8.6;0.00;38.2;67.1
2022-12-31T10:00;10.0;0.00;40.9;73.3
2022-12-31T11:00;11.0;0.00;42.3;103.8
2022-12-31T12:00;12.0;0.00;43.3;70.7
2022-12-31T13:00;12.9;0.00;43.0;57.7
2022-12-31T14:00;13.5;0.00;43.3;19.5
2022-12-31T15:00;13.3;0.00;42.6;0.0
2022-12-31T16:00;13.4;0.00;43.3;0.0
2022-12-31T17:00;13.8;0.00;44.6;0.0
2022-12-31T18:00;14.1;0.00;44.5;0.0
2022-12-31T19:00;13.8;0.00;43.2;0.0
2022-12-31T20:00;13.7;0.00;43.9;0.0
2022-12-31T21:00;13.6;0.00;43.9;0.0
2022-12-31T22:00;13.6;0.00;44.9;0.0
2022-12-31T23:00;13.4;0.00;44.7;0.0
2023-01-01T00:00;13.5;0.00;43.4;0.0
2023-01-01T01:00;13.7;0.00;46.7;0.0
2023-01-01T02:00;14.1;0.00;48.4;0.0
2023-01-01T03:00;14.1;0.00;47.1;0.0
2023-01-01T04:00;14.5;0.00;45.5;0.0
2023-01-01T05:00;14.7;0.00;44.0;0.0
2023-01-01T06:00;13.8;0.00;43.7;0.0
2023-01-01T07:00;13.2;0.00;42.1;0.0
2023-01-01T08:00;13.3;0.00;44.4;29.9
2023-01-01T09:00;14.2;0.00;43.1;47.2
2023-01-01T10:00;14.8;0.00;41.1;55.8
2023-01-01T11:00;15.3;0.00;39.5;51.4
2023-01-01T12:00;15.3;0.00;39.8;65.2
2023-01-01T13:00;15.1;0.00;39.9;62.0
2023-01-01T14:00;14.5;0.00;40.3;27.9
2023-01-01T15:00;13.8;0.00;37.5;0.0
2023-01-01T16:00;13.2;0.00;34.7;0.0
2023-01-01T17:00;12.0;0.00;30.9;0.0
2023-01-01T18:00;10.9;0.00;31.5;0.0
2023-01-01T19:00;11.2;0.00;30.4;0.0
2023-01-01T20:00;10.2;0.00;28.7;0.0
2023-01-01T21:00;9.5;0.00;27.5;0.0
2023-01-01T22:00;9.5;0.00;28.6;0.0
2023-01-01T23:00;9.2;0.00;26.2;0.0
2023-01-02T00:00;9.0;0.00;26.7;0.0
2023-01-02T01:00;8.5;0.00;27.7;0.0
2023-01-02T02:00;8.6;0.00;26.9;0.0
2023-01-02T03:00;7.7;0.00;25.6;0.0
2023-01-02T04:00;8.3;0.00;26.8;0.0
2023-01-02T05:00;8.4;0.00;28.7;0.0
2023-01-02T06:00;8.3;0.00;32.5;0.0
2023-01-02T07:00;7.5;0.00;36.7;0.0
2023-01-02T08:00;8.6;0.00;37.5;44.7
