date,indeks,price,volume
31.12.2022,tgegasda,353.93,27936.00
01.01.2023,tgegasda,301.34,34896.00
02.01.2023,tgegasda,314.77,24072.00
03.01.2023,tgegasda,327.99,60312.00
04.01.2023,tgegasda,337.72,87576.00
05.01.2023,tgegasda,326.29,48024.00
06.01.2023,tgegasda,307.80,52752.00
07.01.2023,tgegasda,329.31,15312.00
08.01.2023,tgegasda,306.62,40632.00
09.01.2023,tgegasda,325.02,27360.00
10.01.2023,tgegasda,329.32,30744.00
11.01.2023,tgegasda,335.91,37584.00
12.01.2023,tgegasda,312.32,55800.00
13.01.2023,tgegasda,314.21,74136.00
14.01.2023,tgegasda,302.22,15168.00
15.01.2023,tgegasda,303.89,18168.00
16.01.2023,tgegasda,315.52,26784.00
17.01.2023,tgegasda,288.17,25368.00
18.01.2023,tgegasda,283.05,29904.00
19.01.2023,tgegasda,317.00,33264.00
20.01.2023,tgegasda,315.15,41208.00
21.01.2023,tgegasda,324.97,17832.00
22.01.2023,tgegasda,353.84,14424.00
23.01.2023,tgegasda,353.20,51120.00
24.01.2023,tgegasda,336.11,58200.00
25.01.2023,tgegasda,313.67,54480.00
26.01.2023,tgegasda,300.21,63912.00
27.01.2023,tgegasda,303.50,65040.00
28.01.2023,tgegasda,280.78,25992.00
29.01.2023,tgegasda,292.47,11616.00
30.01.2023,tgegasda,292.69,37824.00
31.01.2023,tgegasda,299.47,68568.00
01.02.2023,tgegasda,305.23,42288.00
02.02.2023,tgegasda,304.98,78600.00
03.02.2023,tgegasda,303.36,71952.00
04.02.2023,tgegasda,298.79,28848.00
05.02.2023,tgegasda,317.07,44304.00
06.02.2023,tgegasda,321.40,101304.00
07.02.2023,tgegasda,306.91,115056.00
08.02.2023,tgegasda,307.98,127176.00
09.02.2023,tgegasda,288.72,95424.00
10.02.2023,tgegasda,288.88,58152.00
11.02.2023,tgegasda,284.42,10128.00
12.02.2023,tgegasda,284.46,2544.00
13.02.2023,tgegasda,279.09,13656.00
14.02.2023,tgegasda,277.12,22344.00
15.02.2023,tgegasda,281.02,27960.00
16.02.2023,tgegasda,278.13,16272.00
17.02.2023,tgegasda,255.13,29352.00
18.02.2023,tgegasda,237.48,16080.00
19.02.2023,tgegasda,243.97,2304.00
20.02.2023,tgegasda,241.30,12552.00
